,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
41,put,2020-01-24,1180.0,1.279269529023465e-13,0.0,0.375,0.75,0.37499999999987205,0
42,put,2020-01-24,1185.0,1.7721228414212795e-13,0.0,0.375,0.75,0.3749999999998228,0
43,put,2020-01-24,1190.0,2.264983329697149e-13,0.0,0.375,0.75,0.3749999999997735,0
44,put,2020-01-24,1195.0,1.4248083399992225e-12,0.0,0.375,0.75,0.3749999999985752,0
45,put,2020-01-24,1200.0,2.694283837735074e-12,0.0,0.375,0.75,0.3749999999973057,0
46,put,2020-01-24,1205.0,3.96376601076864e-12,0.0,0.375,0.75,0.3749999999960362,0
47,put,2020-01-24,1210.0,5.233266362065593e-12,0.0,0.375,0.75,0.37499999999476674,0
48,put,2020-01-24,1215.0,1.9141010782793092e-11,0.0,0.375,0.75,0.374999999980859,0
49,put,2020-01-24,1217.5,3.3817843109060023e-11,0.0,0.375,0.75,0.37499999996618216,0
50,put,2020-01-24,1220.0,4.84946928649549e-11,0.0,0.375,0.75,0.3749999999515053,0
51,put,2020-01-24,1222.5,6.317156944324264e-11,0.0,0.375,0.75,0.3749999999368284,0
52,put,2020-01-24,1225.0,7.784848815887522e-11,0.0,0.375,0.75,0.3749999999221515,0
53,put,2020-01-24,1227.5,9.252547678505997e-11,0.0,0.375,0.75,0.3749999999074745,0
54,put,2020-01-24,1230.0,1.072025895745646e-10,0.0,0.375,0.75,0.3749999998927974,0
55,put,2020-01-24,1232.5,1.2187991888912606e-10,0.0,0.375,0.75,0.3749999998781201,0
56,put,2020-01-24,1235.0,1.3655797831625744e-10,0.0,0.375,0.75,0.374999999863442,0
57,put,2020-01-24,1237.5,4.156737595121754e-10,0.0,0.375,0.75,0.3749999995843262,0
58,put,2020-01-24,1240.0,7.188211468727065e-10,0.0,0.375,0.75,0.37499999928117883,0
59,put,2020-01-24,1242.5,1.021968983432673e-09,0.0,0.375,0.75,0.374999998978031,0
60,put,2020-01-24,1245.0,1.325117454769686e-09,0.0,0.375,0.75,0.37499999867488254,0
61,put,2020-01-24,1247.5,1.6282669274297246e-09,0.0,0.375,0.75,0.3749999983717331,0
62,put,2020-01-24,1250.0,1.9314181179705234e-09,0.0,0.375,0.75,0.37499999806858186,0
63,put,2020-01-24,1252.5,2.2345724696368687e-09,0.0,0.375,0.75,0.37499999776542753,0
64,put,2020-01-24,1255.0,2.5377327333905364e-09,0.0,0.375,0.75,0.37499999746226725,0
65,put,2020-01-24,1257.5,2.8409246601448433e-09,0.0,0.375,0.75,0.37499999715907534,0
66,put,2020-01-24,1260.0,8.050893043176541e-09,0.0,0.375,0.75,0.37499999194910694,0
67,put,2020-01-24,1262.5,1.3611203246294439e-08,0.0,0.375,0.75,0.3749999863887968,0
68,put,2020-01-24,1265.0,1.917152173827735e-08,0.0,0.375,0.75,0.37499998082847824,0
69,put,2020-01-24,1267.5,2.4731853815929225e-08,0.0,0.375,0.75,0.37499997526814616,0
70,put,2020-01-24,1270.0,3.0292207347438854e-08,0.0,0.375,0.75,0.37499996970779265,0
71,put,2020-01-24,1272.5,3.585259821839266e-08,0.0,0.375,0.75,0.3749999641474018,0
72,put,2020-01-24,1275.0,4.141306013970945e-08,0.0,0.375,0.75,0.37499995858693985,0
73,put,2020-01-24,1277.5,4.6973664196061386e-08,0.0,0.375,0.75,0.3749999530263358,0
74,put,2020-01-24,1280.0,5.253528229096685e-08,0.0,0.375,0.75,0.3749999474647177,0
75,put,2020-01-24,1282.5,1.3824595054700918e-07,0.0,0.375,0.75,0.3749998617540495,0
76,put,2020-01-24,1285.0,2.2817292415310976e-07,0.0,0.375,0.75,0.37499977182707583,0
77,put,2020-01-24,1287.5,3.1810007042278147e-07,0.0,0.375,0.75,0.3749996818999296,0
78,put,2020-01-24,1290.0,4.0802745543024754e-07,0.0,0.35,0.7,0.34999959197254454,0
79,put,2020-01-24,1292.5,4.979552553325097e-07,0.0,0.375,0.75,0.3749995020447447,0
80,put,2020-01-24,1295.0,5.878837660192165e-07,0.0,0.375,0.75,0.374999412116234,0
81,put,2020-01-24,1297.5,6.778136826971427e-07,0.0,0.375,0.75,0.3749993221863173,0
82,put,2020-01-24,1300.0,7.677465904308385e-07,0.0,0.15,0.3,0.14999923225340955,0
83,put,2020-01-24,1302.5,8.577050742962793e-07,0.0,0.375,0.75,0.3749991422949257,0
84,put,2020-01-24,1305.0,2.0897566217913333e-06,0.0,0.375,0.75,0.3749979102433782,0
85,put,2020-01-24,1307.5,3.3611679427122108e-06,0.0,0.35,0.7,0.3499966388320573,0
86,put,2020-01-24,1310.0,4.632581712305315e-06,0.0,0.375,0.75,0.3749953674182877,0
87,put,2020-01-24,1312.5,5.9039997833289e-06,0.0,0.375,0.75,0.37499409600021666,0
88,put,2020-01-24,1315.0,7.175424429243581e-06,0.0,0.1,0.2,0.09999282457557077,0
89,put,2020-01-24,1317.5,8.44686108174734e-06,0.0,0.375,0.75,0.37499155313891824,0
90,put,2020-01-24,1320.0,9.718322058124168e-06,0.0,0.35,0.7,0.34999028167794183,0
91,put,2020-01-24,1322.5,1.0989837770291734e-05,0.0,0.375,0.75,0.3749890101622297,0
92,put,2020-01-24,1325.0,1.2261882445576121e-05,0.0,0.1,0.2,0.09998773811755443,0
93,put,2020-01-24,1327.5,2.757228379049942e-05,0.0,0.225,0.45,0.2249724277162095,0
94,put,2020-01-24,1330.0,4.312046722019427e-05,0.0,0.05,0.1,0.04995687953277981,0
95,put,2020-01-24,1332.5,5.866869124111665e-05,0.0,0.375,0.75,0.3749413313087589,0
96,put,2020-01-24,1335.0,7.421697140372041e-05,0.0,0.375,0.75,0.3749257830285963,0
97,put,2020-01-24,1337.5,8.976534711253973e-05,0.0,0.375,0.75,0.3749102346528875,0
98,put,2020-01-24,1340.0,0.00010531389923449652,0.0,0.375,0.75,0.3748946861007655,0
99,put,2020-01-24,1342.5,0.00012086281489726301,0.0,0.325,0.65,0.32487913718510275,0
100,put,2020-01-24,1345.0,0.00013641259633068555,0.0,0.375,0.75,0.3748635874036693,0
101,put,2020-01-24,1347.5,0.00015197134259099056,0.0,0.375,0.75,0.374848028657409,0
102,put,2020-01-24,1350.0,0.00031426519261789314,0.0,0.1,0.2,0.09968573480738212,0
103,put,2020-01-24,1352.5,0.0004765593699094197,0.0,0.375,0.75,0.3745234406300906,0
104,put,2020-01-24,1355.0,0.0006388539880151358,0.0,0.375,0.75,0.3743611460119849,0
105,put,2020-01-24,1357.5,0.0008011493580851049,0.0,0.375,0.75,0.3741988506419149,0
106,put,2020-01-24,1360.0,0.0009634459259543818,0.0,0.25,0.5,0.24903655407404562,0
